,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,day,hour,month,part_of_day,week_day
0,2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3.0,13.0,16,1,0,1,night,Saturday
1,2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8.0,32.0,40,1,1,1,night,Saturday
2,2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5.0,27.0,32,1,2,1,night,Saturday
3,2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3.0,10.0,13,1,3,1,night,Saturday
4,2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0.0,1.0,1,1,4,1,night,Saturday
5,2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0.0,1.0,1,1,5,1,night,Saturday
6,2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2.0,0.0,2,1,6,1,night,Saturday
7,2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1.0,2.0,3,1,7,1,night,Saturday
8,2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1.0,7.0,8,1,8,1,morning,Saturday
9,2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8.0,6.0,14,1,9,1,morning,Saturday
10,2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12.0,24.0,36,1,10,1,morning,Saturday
11,2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26.0,30.0,56,1,11,1,morning,Saturday
12,2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29.0,55.0,84,1,12,1,morning,Saturday
13,2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47.0,47.0,94,1,13,1,afternoon,Saturday
14,2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35.0,71.0,106,1,14,1,afternoon,Saturday
15,2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40.0,70.0,110,1,15,1,afternoon,Saturday
16,2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41.0,52.0,93,1,16,1,afternoon,Saturday
17,2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15.0,52.0,67,1,17,1,afternoon,Saturday
18,2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9.0,26.0,35,1,18,1,afternoon,Saturday
19,2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6.0,31.0,37,1,19,1,evening,Saturday
20,2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11.0,25.0,36,1,20,1,evening,Saturday
21,2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3.0,31.0,34,1,21,1,evening,Saturday
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11.0,17.0,28,1,22,1,evening,Saturday
23,2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15.0,24.0,39,1,23,1,night,Saturday
24,2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4.0,13.0,17,2,0,1,night,Sunday
25,2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1.0,16.0,17,2,1,1,night,Sunday
26,2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1.0,8.0,9,2,2,1,night,Sunday
27,2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,4.0,6,2,3,1,night,Sunday
28,2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,1.0,3,2,4,1,night,Sunday
29,2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0.0,2.0,2,2,6,1,night,Sunday
30,2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0.0,1.0,1,2,7,1,night,Sunday
31,2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0.0,8.0,8,2,8,1,morning,Sunday
32,2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1.0,19.0,20,2,9,1,morning,Sunday
33,2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7.0,46.0,53,2,10,1,morning,Sunday
34,2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16.0,54.0,70,2,11,1,morning,Sunday
35,2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20.0,73.0,93,2,12,1,morning,Sunday
36,2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11.0,64.0,75,2,13,1,afternoon,Sunday
37,2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4.0,55.0,59,2,14,1,afternoon,Sunday
38,2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19.0,55.0,74,2,15,1,afternoon,Sunday
39,2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9.0,67.0,76,2,16,1,afternoon,Sunday
40,2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7.0,58.0,65,2,17,1,afternoon,Sunday
41,2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10.0,43.0,53,2,18,1,afternoon,Sunday
42,2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1.0,29.0,30,2,19,1,evening,Sunday
43,2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5.0,17.0,22,2,20,1,evening,Sunday
44,2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11.0,20.0,31,2,21,1,evening,Sunday
45,2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0.0,9.0,9,2,22,1,evening,Sunday
46,2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0.0,8.0,8,2,23,1,night,Sunday
47,2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0.0,5.0,5,3,0,1,night,Monday
48,2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0.0,2.0,2,3,1,1,night,Monday
49,2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0.0,1.0,1,3,4,1,night,Monday
50,2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,0.0,3.0,3,3,5,1,night,Monday
51,2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,0.0,30.0,30,3,6,1,night,Monday
52,2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,1.0,63.0,64,3,7,1,night,Monday
53,2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,1.0,153.0,154,3,8,1,morning,Monday
54,2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,7.0,81.0,88,3,9,1,morning,Monday
55,2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,11.0,33.0,44,3,10,1,morning,Monday
56,2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,10.0,41.0,51,3,11,1,morning,Monday
57,2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,13.0,48.0,61,3,12,1,morning,Monday
58,2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,8.0,53.0,61,3,13,1,afternoon,Monday
59,2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,11.0,66.0,77,3,14,1,afternoon,Monday
60,2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,14.0,58.0,72,3,15,1,afternoon,Monday
61,2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,9.0,67.0,76,3,16,1,afternoon,Monday
62,2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,11.0,146.0,157,3,17,1,afternoon,Monday
63,2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,9.0,148.0,157,3,18,1,afternoon,Monday
64,2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8.0,102.0,110,3,19,1,evening,Monday
65,2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,3.0,49.0,52,3,20,1,evening,Monday
66,2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,3.0,49.0,52,3,21,1,evening,Monday
67,2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0.0,20.0,20,3,22,1,evening,Monday
68,2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,1.0,11.0,12,3,23,1,night,Monday
69,2011-01-04 00:00:00,1,0,1,1,6.56,9.09,55,7.0015,0.0,5.0,5,4,0,1,night,Tuesday
70,2011-01-04 01:00:00,1,0,1,1,6.56,9.09,59,7.0015,0.0,2.0,2,4,1,1,night,Tuesday
71,2011-01-04 02:00:00,1,0,1,1,5.74,7.575,63,8.9981,0.0,1.0,1,4,2,1,night,Tuesday
72,2011-01-04 04:00:00,1,0,1,1,5.74,9.09,63,6.0032,0.0,2.0,2,4,4,1,night,Tuesday
73,2011-01-04 05:00:00,1,0,1,1,4.92,7.575,68,7.0015,0.0,4.0,4,4,5,1,night,Tuesday
74,2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,0.0,36.0,36,4,6,1,night,Tuesday
75,2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,2.0,92.0,94,4,7,1,night,Tuesday
76,2011-01-04 08:00:00,1,0,1,1,5.74,7.575,69,11.0014,2.0,177.0,179,4,8,1,morning,Tuesday
77,2011-01-04 09:00:00,1,0,1,1,6.56,7.575,64,15.0013,2.0,98.0,100,4,9,1,morning,Tuesday
78,2011-01-04 10:00:00,1,0,1,2,6.56,6.82,69,22.0028,5.0,37.0,42,4,10,1,morning,Tuesday
79,2011-01-04 11:00:00,1,0,1,1,9.02,10.605,51,19.9995,7.0,50.0,57,4,11,1,morning,Tuesday
80,2011-01-04 12:00:00,1,0,1,1,9.02,11.365,51,11.0014,12.0,66.0,78,4,12,1,morning,Tuesday
81,2011-01-04 13:00:00,1,0,1,1,9.84,11.365,56,12.998,18.0,79.0,97,4,13,1,afternoon,Tuesday
82,2011-01-04 14:00:00,1,0,1,1,10.66,12.88,52,15.0013,9.0,54.0,63,4,14,1,afternoon,Tuesday
83,2011-01-04 15:00:00,1,0,1,1,11.48,13.635,52,16.9979,17.0,48.0,65,4,15,1,afternoon,Tuesday
84,2011-01-04 16:00:00,1,0,1,1,12.3,14.395,49,16.9979,15.0,68.0,83,4,16,1,afternoon,Tuesday
85,2011-01-04 17:00:00,1,0,1,1,11.48,13.635,48,15.0013,10.0,202.0,212,4,17,1,afternoon,Tuesday
86,2011-01-04 18:00:00,1,0,1,1,10.66,12.88,48,12.998,3.0,179.0,182,4,18,1,afternoon,Tuesday
87,2011-01-04 19:00:00,1,0,1,1,9.84,12.88,48,7.0015,2.0,110.0,112,4,19,1,evening,Tuesday
88,2011-01-04 20:00:00,1,0,1,1,9.84,12.88,48,7.0015,1.0,53.0,54,4,20,1,evening,Tuesday
89,2011-01-04 21:00:00,1,0,1,1,9.02,13.635,64,0.0,0.0,48.0,48,4,21,1,evening,Tuesday
90,2011-01-04 22:00:00,1,0,1,1,9.02,12.88,64,6.0032,1.0,34.0,35,4,22,1,evening,Tuesday
91,2011-01-04 23:00:00,1,0,1,1,8.2,11.365,69,6.0032,2.0,9.0,11,4,23,1,night,Tuesday
92,2011-01-05 00:00:00,1,0,1,1,8.2,12.88,64,0.0,0.0,6.0,6,5,0,1,night,Wednesday
93,2011-01-05 01:00:00,1,0,1,1,6.56,9.85,74,6.0032,0.0,6.0,6,5,1,1,night,Wednesday
94,2011-01-05 02:00:00,1,0,1,1,6.56,9.85,74,6.0032,0.0,2.0,2,5,2,1,night,Wednesday
95,2011-01-05 04:00:00,1,0,1,1,9.84,11.365,48,15.0013,0.0,2.0,2,5,4,1,night,Wednesday
96,2011-01-05 05:00:00,1,0,1,1,9.02,11.365,47,11.0014,0.0,3.0,3,5,5,1,night,Wednesday
97,2011-01-05 06:00:00,1,0,1,1,8.2,9.85,47,15.0013,0.0,33.0,33,5,6,1,night,Wednesday
98,2011-01-05 07:00:00,1,0,1,1,7.38,9.09,43,12.998,1.0,87.0,88,5,7,1,night,Wednesday
99,2011-01-05 08:00:00,1,0,1,1,8.2,9.09,40,19.9995,3.0,192.0,195,5,8,1,morning,Wednesday
100,2011-01-05 09:00:00,1,0,1,1,9.02,9.85,37,22.0028,6.0,109.0,115,5,9,1,morning,Wednesday
101,2011-01-05 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,4.0,53.0,57,5,10,1,morning,Wednesday
102,2011-01-05 11:00:00,1,0,1,1,10.66,11.365,33,22.0028,12.0,34.0,46,5,11,1,morning,Wednesday
103,2011-01-05 12:00:00,1,0,1,1,10.66,11.365,33,22.0028,5.0,74.0,79,5,12,1,morning,Wednesday
104,2011-01-05 13:00:00,1,0,1,1,11.48,12.88,30,19.9995,6.0,65.0,71,5,13,1,afternoon,Wednesday
105,2011-01-05 14:00:00,1,0,1,1,12.3,14.395,28,12.998,10.0,52.0,62,5,14,1,afternoon,Wednesday
106,2011-01-05 15:00:00,1,0,1,1,12.3,14.395,28,12.998,7.0,55.0,62,5,15,1,afternoon,Wednesday
107,2011-01-05 16:00:00,1,0,1,1,12.3,15.91,28,6.0032,4.0,85.0,89,5,16,1,afternoon,Wednesday
108,2011-01-05 17:00:00,1,0,1,1,9.84,11.365,38,12.998,4.0,186.0,190,5,17,1,afternoon,Wednesday
109,2011-01-05 18:00:00,1,0,1,1,9.84,12.12,38,8.9981,3.0,166.0,169,5,18,1,afternoon,Wednesday
110,2011-01-05 19:00:00,1,0,1,1,9.84,12.88,38,7.0015,5.0,127.0,132,5,19,1,evening,Wednesday
111,2011-01-05 20:00:00,1,0,1,1,9.02,11.365,47,11.0014,7.0,82.0,89,5,20,1,evening,Wednesday
112,2011-01-05 21:00:00,1,0,1,1,8.2,9.85,51,12.998,3.0,40.0,43,5,21,1,evening,Wednesday
113,2011-01-05 22:00:00,1,0,1,1,7.38,9.85,55,8.9981,1.0,41.0,42,5,22,1,evening,Wednesday
114,2011-01-05 23:00:00,1,0,1,1,8.2,12.88,47,0.0,1.0,18.0,19,5,23,1,night,Wednesday
115,2011-01-06 00:00:00,1,0,1,1,7.38,12.12,55,0.0,0.0,11.0,11,6,0,1,night,Thursday
116,2011-01-06 01:00:00,1,0,1,1,6.56,11.365,64,0.0,0.0,4.0,4,6,1,1,night,Thursday
117,2011-01-06 02:00:00,1,0,1,1,6.56,11.365,64,0.0,0.0,2.0,2,6,2,1,night,Thursday
118,2011-01-06 04:00:00,1,0,1,2,6.56,9.85,64,6.0032,0.0,1.0,1,6,4,1,night,Thursday
119,2011-01-06 05:00:00,1,0,1,2,5.74,9.09,69,6.0032,0.0,4.0,4,6,5,1,night,Thursday
120,2011-01-06 06:00:00,1,0,1,2,5.74,8.335,63,7.0015,0.0,36.0,36,6,6,1,night,Thursday
121,2011-01-06 07:00:00,1,0,1,2,6.56,11.365,59,0.0,0.0,95.0,95,6,7,1,night,Thursday
122,2011-01-06 08:00:00,1,0,1,1,6.56,11.365,59,0.0,3.0,216.0,219,6,8,1,morning,Thursday
123,2011-01-06 09:00:00,1,0,1,2,7.38,12.12,51,0.0,6.0,116.0,122,6,9,1,morning,Thursday
124,2011-01-06 10:00:00,1,0,1,1,8.2,12.88,47,0.0,3.0,42.0,45,6,10,1,morning,Thursday
125,2011-01-06 11:00:00,1,0,1,1,9.02,12.88,44,6.0032,2.0,57.0,59,6,11,1,morning,Thursday
126,2011-01-06 12:00:00,1,0,1,1,10.66,14.395,35,0.0,6.0,78.0,84,6,12,1,morning,Thursday
127,2011-01-06 13:00:00,1,0,1,1,10.66,13.635,35,7.0015,12.0,55.0,67,6,13,1,afternoon,Thursday
128,2011-01-06 14:00:00,1,0,1,1,11.48,13.635,36,11.0014,11.0,59.0,70,6,14,1,afternoon,Thursday
129,2011-01-06 15:00:00,1,0,1,1,11.48,13.635,36,0.0,8.0,54.0,62,6,15,1,afternoon,Thursday
130,2011-01-06 16:00:00,1,0,1,1,10.66,12.88,38,11.0014,12.0,74.0,86,6,16,1,afternoon,Thursday
131,2011-01-06 17:00:00,1,0,1,1,9.02,11.365,51,11.0014,9.0,163.0,172,6,17,1,afternoon,Thursday
132,2011-01-06 18:00:00,1,0,1,1,9.02,11.365,51,8.9981,5.0,158.0,163,6,18,1,afternoon,Thursday
133,2011-01-06 19:00:00,1,0,1,1,9.02,12.88,55,6.0032,3.0,109.0,112,6,19,1,evening,Thursday
134,2011-01-06 20:00:00,1,0,1,1,8.2,10.605,51,11.0014,3.0,66.0,69,6,20,1,evening,Thursday
135,2011-01-06 21:00:00,1,0,1,2,9.02,10.605,55,15.0013,0.0,48.0,48,6,21,1,evening,Thursday
136,2011-01-06 22:00:00,1,0,1,2,9.02,10.605,51,19.0012,1.0,51.0,52,6,22,1,evening,Thursday
137,2011-01-06 23:00:00,1,0,1,2,8.2,9.85,59,12.998,4.0,19.0,23,6,23,1,night,Thursday
138,2011-01-07 00:00:00,1,0,1,2,8.2,9.85,64,12.998,4.0,13.0,17,7,0,1,night,Friday
139,2011-01-07 01:00:00,1,0,1,2,8.2,9.85,69,15.0013,2.0,5.0,7,7,1,1,night,Friday
140,2011-01-07 02:00:00,1,0,1,2,8.2,9.85,69,15.0013,0.0,1.0,1,7,2,1,night,Friday
141,2011-01-07 04:00:00,1,0,1,2,8.2,10.605,69,8.9981,0.0,1.0,1,7,4,1,night,Friday
142,2011-01-07 05:00:00,1,0,1,3,9.02,13.635,55,0.0,0.0,5.0,5,7,5,1,night,Friday
143,2011-01-07 06:00:00,1,0,1,2,8.2,12.88,69,0.0,8.0,26.0,34,7,6,1,night,Friday
144,2011-01-07 07:00:00,1,0,1,1,8.2,10.605,69,8.9981,8.0,76.0,84,7,7,1,night,Friday
145,2011-01-07 08:00:00,1,0,1,1,8.2,9.85,51,16.9979,20.0,190.0,210,7,8,1,morning,Friday
146,2011-01-07 09:00:00,1,0,1,1,8.2,9.09,47,19.9995,9.0,125.0,134,7,9,1,morning,Friday
147,2011-01-07 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,16.0,47.0,63,7,10,1,morning,Friday
148,2011-01-07 11:00:00,1,0,1,2,8.2,9.85,40,15.0013,19.0,48.0,67,7,11,1,morning,Friday
149,2011-01-07 12:00:00,1,0,1,2,8.2,9.85,37,16.9979,9.0,50.0,59,7,12,1,morning,Friday
150,2011-01-07 13:00:00,1,0,1,2,8.2,9.09,37,19.0012,9.0,64.0,73,7,13,1,afternoon,Friday
151,2011-01-07 14:00:00,1,0,1,2,8.2,9.85,40,16.9979,7.0,43.0,50,7,14,1,afternoon,Friday
152,2011-01-07 15:00:00,1,0,1,2,8.2,10.605,37,11.0014,9.0,63.0,72,7,15,1,afternoon,Friday
153,2011-01-07 16:00:00,1,0,1,2,8.2,10.605,37,11.0014,5.0,82.0,87,7,16,1,afternoon,Friday
154,2011-01-07 17:00:00,1,0,1,2,8.2,12.88,37,0.0,9.0,178.0,187,7,17,1,afternoon,Friday
155,2011-01-07 18:00:00,1,0,1,1,8.2,11.365,40,6.0032,7.0,116.0,123,7,18,1,afternoon,Friday
156,2011-01-07 19:00:00,1,0,1,1,6.56,9.85,55,6.0032,3.0,92.0,95,7,19,1,evening,Friday
157,2011-01-07 20:00:00,1,0,1,1,7.38,10.605,47,7.0015,1.0,50.0,51,7,20,1,evening,Friday
158,2011-01-07 21:00:00,1,0,1,1,7.38,9.85,47,8.9981,0.0,39.0,39,7,21,1,evening,Friday
159,2011-01-07 22:00:00,1,0,1,2,7.38,9.85,43,11.0014,2.0,34.0,36,7,22,1,evening,Friday
160,2011-01-07 23:00:00,1,0,1,2,7.38,9.85,51,11.0014,1.0,14.0,15,7,23,1,night,Friday
161,2011-01-08 00:00:00,1,0,0,2,7.38,9.85,51,11.0014,1.0,24.0,25,8,0,1,night,Saturday
162,2011-01-08 01:00:00,1,0,0,2,7.38,10.605,55,6.0032,1.0,15.0,16,8,1,1,night,Saturday
163,2011-01-08 02:00:00,1,0,0,2,7.38,12.12,55,0.0,3.0,13.0,16,8,2,1,night,Saturday
164,2011-01-08 03:00:00,1,0,0,3,7.38,9.85,55,11.0014,0.0,7.0,7,8,3,1,night,Saturday
165,2011-01-08 04:00:00,1,0,0,3,7.38,9.85,55,11.0014,0.0,1.0,1,8,4,1,night,Saturday
166,2011-01-08 05:00:00,1,0,0,2,6.56,8.335,74,11.0014,0.0,5.0,5,8,5,1,night,Saturday
167,2011-01-08 06:00:00,1,0,0,2,6.56,8.335,74,11.0014,0.0,2.0,2,8,6,1,night,Saturday
168,2011-01-08 07:00:00,1,0,0,2,6.56,9.09,74,7.0015,1.0,8.0,9,8,7,1,night,Saturday
169,2011-01-08 08:00:00,1,0,0,3,6.56,9.09,93,7.0015,0.0,15.0,15,8,8,1,morning,Saturday
170,2011-01-08 09:00:00,1,0,0,3,6.56,9.09,93,7.0015,0.0,20.0,20,8,9,1,morning,Saturday
171,2011-01-08 10:00:00,1,0,0,2,7.38,9.85,80,11.0014,5.0,56.0,61,8,10,1,morning,Saturday
172,2011-01-08 11:00:00,1,0,0,2,8.2,9.09,69,26.0027,2.0,60.0,62,8,11,1,morning,Saturday
173,2011-01-08 12:00:00,1,0,0,2,8.2,9.09,59,23.9994,8.0,90.0,98,8,12,1,morning,Saturday
174,2011-01-08 13:00:00,1,0,0,1,8.2,9.09,44,22.0028,7.0,95.0,102,8,13,1,afternoon,Saturday
175,2011-01-08 14:00:00,1,0,0,1,8.2,8.335,32,32.9975,12.0,83.0,95,8,14,1,afternoon,Saturday
176,2011-01-08 15:00:00,1,0,0,1,8.2,8.335,32,30.0026,5.0,69.0,74,8,15,1,afternoon,Saturday
177,2011-01-08 16:00:00,1,0,0,1,7.38,6.82,29,30.0026,8.0,68.0,76,8,16,1,afternoon,Saturday
178,2011-01-08 17:00:00,1,0,0,1,6.56,6.06,37,36.9974,5.0,64.0,69,8,17,1,afternoon,Saturday
179,2011-01-08 18:00:00,1,0,0,1,5.74,6.06,39,19.9995,3.0,52.0,55,8,18,1,afternoon,Saturday
180,2011-01-08 19:00:00,1,0,0,1,5.74,6.06,36,16.9979,4.0,26.0,30,8,19,1,evening,Saturday
181,2011-01-08 20:00:00,1,0,0,1,4.92,6.06,36,16.9979,0.0,28.0,28,8,20,1,evening,Saturday
182,2011-01-08 21:00:00,1,0,0,1,4.92,5.305,39,23.9994,2.0,35.0,37,8,21,1,evening,Saturday
183,2011-01-08 22:00:00,1,0,0,1,4.92,5.305,36,26.0027,1.0,33.0,34,8,22,1,evening,Saturday
184,2011-01-08 23:00:00,1,0,0,1,4.1,3.03,39,30.0026,0.0,22.0,22,8,23,1,night,Saturday
185,2011-01-09 00:00:00,1,0,0,1,4.1,3.79,42,26.0027,1.0,24.0,25,9,0,1,night,Sunday
186,2011-01-09 01:00:00,1,0,0,1,4.1,3.03,42,31.0009,0.0,12.0,12,9,1,1,night,Sunday
187,2011-01-09 02:00:00,1,0,0,1,4.1,3.03,46,31.0009,0.0,11.0,11,9,2,1,night,Sunday
188,2011-01-09 03:00:00,1,0,0,1,4.1,3.79,46,27.9993,0.0,4.0,4,9,3,1,night,Sunday
189,2011-01-09 04:00:00,1,0,0,1,3.28,4.545,53,12.998,0.0,1.0,1,9,4,1,night,Sunday
190,2011-01-09 05:00:00,1,0,0,1,3.28,4.545,53,12.998,0.0,1.0,1,9,5,1,night,Sunday
191,2011-01-09 06:00:00,1,0,0,1,4.1,4.545,49,19.0012,0.0,1.0,1,9,6,1,night,Sunday
192,2011-01-09 07:00:00,1,0,0,1,3.28,4.545,53,12.998,1.0,5.0,6,9,7,1,night,Sunday
193,2011-01-09 08:00:00,1,0,0,1,4.1,4.545,49,19.0012,0.0,10.0,10,9,8,1,morning,Sunday
194,2011-01-09 09:00:00,1,0,0,1,4.92,3.79,46,35.0008,0.0,19.0,19,9,9,1,morning,Sunday
195,2011-01-09 10:00:00,1,0,0,1,5.74,5.305,43,26.0027,0.0,49.0,49,9,10,1,morning,Sunday
196,2011-01-09 11:00:00,1,0,0,1,6.56,6.06,40,35.0008,2.0,47.0,49,9,11,1,morning,Sunday
197,2011-01-09 12:00:00,1,0,0,1,7.38,6.82,37,30.0026,4.0,79.0,83,9,12,1,morning,Sunday
198,2011-01-09 13:00:00,1,0,0,1,8.2,8.335,34,30.0026,6.0,69.0,75,9,13,1,afternoon,Sunday
199,2011-01-09 14:00:00,1,0,0,1,9.02,9.09,32,31.0009,8.0,64.0,72,9,14,1,afternoon,Sunday
200,2011-01-09 15:00:00,1,0,0,1,9.02,9.85,35,23.9994,5.0,77.0,82,9,15,1,afternoon,Sunday
