,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,day,hour,month,part_of_day
0,2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3.0,13.0,16,1,0,1,night
1,2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8.0,32.0,40,1,1,1,night
2,2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5.0,27.0,32,1,2,1,night
3,2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3.0,10.0,13,1,3,1,night
4,2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0.0,1.0,1,1,4,1,night
5,2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0.0,1.0,1,1,5,1,night
6,2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2.0,0.0,2,1,6,1,night
7,2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1.0,2.0,3,1,7,1,night
8,2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1.0,7.0,8,1,8,1,morning
9,2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8.0,6.0,14,1,9,1,morning
10,2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12.0,24.0,36,1,10,1,morning
11,2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26.0,30.0,56,1,11,1,morning
12,2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29.0,55.0,84,1,12,1,morning
13,2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47.0,47.0,94,1,13,1,afternoon
14,2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35.0,71.0,106,1,14,1,afternoon
15,2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40.0,70.0,110,1,15,1,afternoon
16,2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41.0,52.0,93,1,16,1,afternoon
17,2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15.0,52.0,67,1,17,1,afternoon
18,2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9.0,26.0,35,1,18,1,afternoon
19,2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6.0,31.0,37,1,19,1,evening
20,2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11.0,25.0,36,1,20,1,evening
21,2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3.0,31.0,34,1,21,1,evening
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11.0,17.0,28,1,22,1,evening
23,2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15.0,24.0,39,1,23,1,night
24,2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4.0,13.0,17,2,0,1,night
25,2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1.0,16.0,17,2,1,1,night
26,2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1.0,8.0,9,2,2,1,night
27,2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,4.0,6,2,3,1,night
28,2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,1.0,3,2,4,1,night
29,2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0.0,2.0,2,2,6,1,night
30,2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0.0,1.0,1,2,7,1,night
31,2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0.0,8.0,8,2,8,1,morning
32,2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1.0,19.0,20,2,9,1,morning
33,2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7.0,46.0,53,2,10,1,morning
34,2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16.0,54.0,70,2,11,1,morning
35,2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20.0,73.0,93,2,12,1,morning
36,2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11.0,64.0,75,2,13,1,afternoon
37,2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4.0,55.0,59,2,14,1,afternoon
38,2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19.0,55.0,74,2,15,1,afternoon
39,2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9.0,67.0,76,2,16,1,afternoon
40,2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7.0,58.0,65,2,17,1,afternoon
41,2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10.0,43.0,53,2,18,1,afternoon
42,2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1.0,29.0,30,2,19,1,evening
43,2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5.0,17.0,22,2,20,1,evening
44,2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11.0,20.0,31,2,21,1,evening
45,2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0.0,9.0,9,2,22,1,evening
46,2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0.0,8.0,8,2,23,1,night
47,2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0.0,5.0,5,3,0,1,night
48,2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0.0,2.0,2,3,1,1,night
49,2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0.0,1.0,1,3,4,1,night
50,2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,0.0,3.0,3,3,5,1,night
51,2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,0.0,30.0,30,3,6,1,night
52,2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,1.0,63.0,64,3,7,1,night
53,2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,1.0,153.0,154,3,8,1,morning
54,2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,7.0,81.0,88,3,9,1,morning
55,2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,11.0,33.0,44,3,10,1,morning
56,2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,10.0,41.0,51,3,11,1,morning
57,2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,13.0,48.0,61,3,12,1,morning
58,2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,8.0,53.0,61,3,13,1,afternoon
59,2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,11.0,66.0,77,3,14,1,afternoon
60,2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,14.0,58.0,72,3,15,1,afternoon
61,2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,9.0,67.0,76,3,16,1,afternoon
62,2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,11.0,146.0,157,3,17,1,afternoon
63,2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,9.0,148.0,157,3,18,1,afternoon
64,2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8.0,102.0,110,3,19,1,evening
65,2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,3.0,49.0,52,3,20,1,evening
66,2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,3.0,49.0,52,3,21,1,evening
67,2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0.0,20.0,20,3,22,1,evening
68,2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,1.0,11.0,12,3,23,1,night
69,2011-01-04 00:00:00,1,0,1,1,6.56,9.09,55,7.0015,0.0,5.0,5,4,0,1,night
70,2011-01-04 01:00:00,1,0,1,1,6.56,9.09,59,7.0015,0.0,2.0,2,4,1,1,night
71,2011-01-04 02:00:00,1,0,1,1,5.74,7.575,63,8.9981,0.0,1.0,1,4,2,1,night
